northing,easting,scr_no,ohl_length_meter,ohl_progress,engg_kpi_after_rig-off_days,access_road_5,earth_work_60,cellar_20,beam_pump_base_esp_pcp_foundation_5,earthing_1,water_2,hdpe_liner_instalat_4,sleeper_pre_cast_ins_15,cs_pipe_welding_ndt_10_rt_for_op_100_for_60,pe_fussion_pull_20,final_hydro_t_3,mechani_60,days_since_start,start_month,start_quarter,rig_duration_days,days_to_rig_off_exp,week_index,dist_from_centroid,geo_quadrant,geo_angle,loc_prep_composite,progress_lag1,progress_lag2,progress_lag4,progress_velocity_1w,progress_velocity_2w,progress_accel,progress_rolling3w,remaining_to_complete,momentum_score,rig_no_te,rig_no_cnt,project_id_te,project_id_cnt,project_code_te,project_code_cnt,well_type_te,well_type_cnt,completion_type_rig_fbu_or_rsr_hoist_te,completion_type_rig_fbu_or_rsr_hoist_cnt,week_hist_mean,week_hist_std,rig_no_enc,well_type_enc,project_code_enc,project_name_enc,fl_dia_enc,completion_type_rig_fbu_or_rsr_hoist_enc,flow_line_const._status_in_progress_completed_enc,physical_tie_in_port_available_when_flaf_issued_enc,location_preparation_status_in_progress_completed_enc,target_lead_4w
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,93,17,31358.42594943821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3882289416846652,0.3591179301176627,5,6,0,0,3,6,3,2,3,0.01
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,92,18,31358.42594943821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.39290393013100433,0.3598791365702775,5,6,0,0,3,6,3,2,3,0.02
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,91,19,31358.42594943821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.4001508620689655,0.3631232690271644,5,6,0,0,3,6,3,2,3,0.02
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,28,1,31358.42594943821,0,0.0,0.0,0.18,0.17,0.16,0.0,0.0,0.0,0.17,1.0,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.39210526315789473,0.372129422012131,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,27,2,31358.42594943821,0,0.0,0.0,0.1,0.17,0.16,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.32176666666666665,0.34547898825636897,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,26,3,31358.42594943821,0,0.0,0.0,0.1,0.1,0.16,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3293939393939394,0.3473559651546335,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,25,4,31358.42594943821,0,0.0,0.0,0.1,0.1,0.16,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3537037037037037,0.35251656952997146,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,103,5,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3407894736842105,0.3516048832733822,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,101,7,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3957317073170732,0.3897863627833379,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,99,9,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.33462406015037593,0.35007930317752894,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,98,10,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3640049751243781,0.3559212414983828,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,97,11,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.34821345707656615,0.35362483195043637,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,98,12,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.34673563218390807,0.3548023549169466,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,97,13,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.31842105263157894,0.3463996633829976,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,96,14,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3684815618221258,0.35869187786490386,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,95,15,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.39643203883495143,0.36125307430001213,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,94,16,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.38242358078602623,0.35829406716753814,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,93,17,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3882289416846652,0.3591179301176627,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,92,18,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.39290393013100433,0.3598791365702775,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,91,19,31358.42594943821,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.37274285714285715,350,0.3561374045801527,1310,0.3561374045801527,1310,0.3637362924281984,0.0,0.3637362924281984,0.0,0.4001508620689655,0.3631232690271644,5,6,1,1,3,6,3,2,3,0.1
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,40,4,31358.42594943821,0,0.0,0.0,0.18,0.17,0.16,0.0,0.0,0.0,0.17,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3537037037037037,0.35251656952997146,5,6,0,0,3,6,3,2,3,0.0
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,39,5,31358.42594943821,0,0.0,0.0,0.0,0.17,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3407894736842105,0.3516048832733822,5,6,0,0,3,6,3,2,3,0.0
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,68,6,31358.42594943821,0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.34020089285714283,0.3497153905769088,5,6,0,0,3,6,3,2,3,0.0
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,66,8,31358.42594943821,0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3599762470308789,0.352857383042762,5,6,0,0,3,6,3,2,3,0.01
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,64,10,31358.42594943821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.3640049751243781,0.3559212414983828,5,6,0,0,3,6,3,2,3,0.01
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,63,11,31358.42594943821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.34821345707656615,0.35362483195043637,5,6,0,0,3,6,3,2,3,0.02
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,62,12,31358.42594943821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.34673563218390807,0.3548023549169466,5,6,0,0,3,6,3,2,3,0.02
2035851.1,366990.99,3604.0,1000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,11.0,4.0,9.0,63,13,31358.42594943821,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,1.0,0.01,0.37274285714285715,350,0.3880546218487395,2380,0.3880546218487395,2380,0.3637362924281984,0.0,0.3637362924281984,0.0,0.31842105263157894,0.3463996633829976,5,6,0,0,3,6,3,2,3,0.02
